Image,Mask
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_11.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_12.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_13.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_14.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_15.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_16.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_17.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_18.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_19.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_20.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_21.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_22.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_23.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_24.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/00_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_11.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_12.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_13.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_14.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_15.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_16.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_17.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_18.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_19.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_20.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_21.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_22.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_23.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_24.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0100_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_11.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_12.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_13.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_14.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_15.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_16.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_17.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_18.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_19.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain_Malignancy/Image/0101_20.npy,0
