Image,Mask
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/00_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_7.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_8.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/010_9.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_1.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_10.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_2.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_3.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_4.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_5.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_6.npy,0
F:\myfile\detection\PytorchDeepLearing\processeddata/augtrain/Image/011_7.npy,0
